Repo,Tag Name,Release Name,Published At,Year,Month,Day,Week,Date,Is Weekend,URL
daangn/stackflow,@stackflow/config@1.1.0,@stackflow/config@1.1.0,2024-07-31T10:06:38Z,2024,7,31,31,2024-07-31,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/config%401.1.0
daangn/stackflow,@stackflow/compat-await-push@1.1.11,@stackflow/compat-await-push@1.1.11,2024-07-31T10:06:35Z,2024,7,31,31,2024-07-31,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/compat-await-push%401.1.11
daangn/stackflow,@stackflow/react@1.1.11,@stackflow/react@1.1.11,2024-07-25T08:37:17Z,2024,7,25,30,2024-07-25,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.1.11
daangn/stackflow,@stackflow/plugin-stack-depth-change@1.1.4,@stackflow/plugin-stack-depth-change@1.1.4,2024-07-25T08:37:11Z,2024,7,25,30,2024-07-25,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-stack-depth-change%401.1.4
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.10,@stackflow/plugin-renderer-web@1.1.10,2024-07-25T08:37:08Z,2024,7,25,30,2024-07-25,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-renderer-web%401.1.10
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.10,@stackflow/plugin-renderer-basic@1.1.10,2024-07-25T08:37:14Z,2024,7,25,30,2024-07-25,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-renderer-basic%401.1.10
daangn/stackflow,@stackflow/plugin-preload@1.3.2,@stackflow/plugin-preload@1.3.2,2024-07-25T08:37:05Z,2024,7,25,30,2024-07-25,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-preload%401.3.2
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.8,@stackflow/plugin-map-initial-activity@1.0.8,2024-07-25T08:37:02Z,2024,7,25,30,2024-07-25,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-map-initial-activity%401.0.8
daangn/stackflow,@stackflow/plugin-history-sync@1.5.4,@stackflow/plugin-history-sync@1.5.4,2024-07-25T08:36:59Z,2024,7,25,30,2024-07-25,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-history-sync%401.5.4
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.12,@stackflow/plugin-google-analytics-4@1.1.12,2024-07-25T08:36:53Z,2024,7,25,30,2024-07-25,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-google-analytics-4%401.1.12
daangn/stackflow,@stackflow/plugin-devtools@0.1.10,@stackflow/plugin-devtools@0.1.10,2024-07-25T08:36:56Z,2024,7,25,30,2024-07-25,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-devtools%400.1.10
daangn/stackflow,@stackflow/plugin-basic-ui@1.8.2,@stackflow/plugin-basic-ui@1.8.2,2024-07-25T08:36:47Z,2024,7,25,30,2024-07-25,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.8.2
daangn/stackflow,@stackflow/link@1.4.2,@stackflow/link@1.4.2,2024-07-25T08:36:44Z,2024,7,25,30,2024-07-25,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/link%401.4.2
daangn/stackflow,@stackflow/esbuild-config@1.0.3,@stackflow/esbuild-config@1.0.3,2024-07-25T08:37:20Z,2024,7,25,30,2024-07-25,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/esbuild-config%401.0.3
daangn/stackflow,@stackflow/core@1.0.13,@stackflow/core@1.0.13,2024-07-25T08:36:50Z,2024,7,25,30,2024-07-25,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/core%401.0.13
daangn/stackflow,@stackflow/compat-await-push@1.1.10,@stackflow/compat-await-push@1.1.10,2024-07-25T08:36:41Z,2024,7,25,30,2024-07-25,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/compat-await-push%401.1.10
daangn/stackflow,@stackflow/plugin-basic-ui@1.8.1,@stackflow/plugin-basic-ui@1.8.1,2024-07-24T03:50:38Z,2024,7,24,30,2024-07-24,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.8.1
daangn/stackflow,@stackflow/plugin-history-sync@1.5.3,@stackflow/plugin-history-sync@1.5.3,2024-07-23T01:35:18Z,2024,7,23,30,2024-07-23,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-history-sync%401.5.3
daangn/stackflow,@stackflow/react@1.1.10,@stackflow/react@1.1.10,2024-07-22T05:04:13Z,2024,7,22,30,2024-07-22,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.1.10
daangn/stackflow,@stackflow/plugin-stack-depth-change@1.1.3,@stackflow/plugin-stack-depth-change@1.1.3,2024-07-22T05:04:10Z,2024,7,22,30,2024-07-22,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-stack-depth-change%401.1.3
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.9,@stackflow/plugin-renderer-web@1.1.9,2024-07-22T05:04:07Z,2024,7,22,30,2024-07-22,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-renderer-web%401.1.9
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.9,@stackflow/plugin-renderer-basic@1.1.9,2024-07-22T05:04:04Z,2024,7,22,30,2024-07-22,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-renderer-basic%401.1.9
daangn/stackflow,@stackflow/plugin-preload@1.3.1,@stackflow/plugin-preload@1.3.1,2024-07-22T05:04:01Z,2024,7,22,30,2024-07-22,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-preload%401.3.1
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.7,@stackflow/plugin-map-initial-activity@1.0.7,2024-07-22T05:03:55Z,2024,7,22,30,2024-07-22,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-map-initial-activity%401.0.7
